epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,3878.51,1.97938,0.40538,0.13792,1.14977,0.9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068075,0.00068075,0.00068075
48,3959.45,1.75568,0.32775,0.13775,1.09765,0.90062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000668375,0.000668375,0.000668375
49,4041.26,1.97292,0.40957,0.12694,1.21204,0.97556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656,0.000656,0.000656
50,4122.29,1.8349,0.65289,0.20005,1.20216,0.90067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643625,0.000643625,0.000643625
51,4203.63,1.89191,0.36536,0.12007,1.16023,1.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
52,4285.73,1.93876,0.67857,0.15141,1.27935,0.99993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000618875,0.000618875,0.000618875
53,4367.4,1.87997,0.31243,0.13419,1.08917,0.94657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006065,0.0006065,0.0006065
54,4449.72,1.80101,0.32414,0.13672,1.05364,0.92567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594125,0.000594125,0.000594125
55,4531.52,1.73395,0.31571,0.11073,1.01722,0.91985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058175,0.00058175,0.00058175
56,4611.85,1.89559,0.30815,0.10444,1.15875,0.94793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569375,0.000569375,0.000569375
57,4693.74,1.95965,0.44099,0.11344,1.15451,0.91957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000557,0.000557,0.000557
58,4775.9,1.9274,0.36755,0.1023,1.087,0.93103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000544625,0.000544625,0.000544625
59,4858.6,1.81642,0.34879,0.12126,1.06169,0.9244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053225,0.00053225,0.00053225
60,4941.11,1.76218,0.3213,0.13262,1.04558,0.90663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000519875,0.000519875,0.000519875
61,5022.57,1.70444,0.28914,0.11383,1.02974,0.91618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
62,5104.56,1.74063,0.2834,0.12124,1.03621,0.91424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000495125,0.000495125,0.000495125
63,5185.24,1.75949,0.30394,0.09757,1.06382,0.91299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048275,0.00048275,0.00048275
64,5266.04,1.74017,0.25774,0.15354,0.99419,0.92853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000470375,0.000470375,0.000470375
65,5347.76,1.61263,0.2621,0.13048,1.03573,0.8664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000458,0.000458,0.000458
66,5429.09,1.822,0.29382,0.21778,1.08375,0.94615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445625,0.000445625,0.000445625
67,5510.42,1.69356,0.30224,0.15917,0.97789,0.93167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043325,0.00043325,0.00043325
68,5592.19,1.62954,0.2882,0.11644,1.12351,0.9122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000420875,0.000420875,0.000420875
69,5674.18,1.60655,0.30363,0.10125,0.96191,0.90985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004085,0.0004085,0.0004085
70,5756.6,1.59675,0.26441,0.10988,0.91956,0.90357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000396125,0.000396125,0.000396125
71,5839.44,1.62576,0.29426,0.13111,0.9658,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038375,0.00038375,0.00038375
72,5922.91,1.68214,0.35976,0.14946,0.95708,0.91505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371375,0.000371375,0.000371375
73,6004.97,1.69805,0.25779,0.12242,0.9717,0.8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359,0.000359,0.000359
74,6086.52,1.60621,0.25203,0.12099,0.94097,0.90057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346625,0.000346625,0.000346625
75,6168.74,1.53911,0.21987,0.08876,0.94285,0.89236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033425,0.00033425,0.00033425
76,6250.88,1.65094,0.23006,0.09551,0.96953,0.90391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321875,0.000321875,0.000321875
77,6333.1,1.54311,0.23298,0.11152,0.92833,0.88927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003095,0.0003095,0.0003095
78,6416.2,1.62677,0.25657,0.12175,0.94956,0.88706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297125,0.000297125,0.000297125
79,6499,1.57207,0.28625,0.11873,0.90861,0.88003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028475,0.00028475,0.00028475
80,6582.63,1.62475,0.22162,0.10666,0.92135,0.87708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272375,0.000272375,0.000272375
81,6664.75,1.65195,0.25208,0.10511,1.01305,0.86436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
82,6747.52,1.54062,0.26245,0.12923,0.91552,0.88891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000247625,0.000247625,0.000247625
83,6830,1.56852,0.21863,0.1465,0.94375,0.89415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023525,0.00023525,0.00023525
84,6914.49,1.5997,0.21488,0.1352,0.91167,0.89539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222875,0.000222875,0.000222875
85,6998.03,1.44117,0.24521,0.1243,0.89648,0.83732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002105,0.0002105,0.0002105
86,7080.4,1.67719,0.24661,0.09307,0.96584,0.86439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198125,0.000198125,0.000198125
87,7163.25,1.58033,0.22222,0.11981,0.92031,0.89813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018575,0.00018575,0.00018575
88,7246.65,1.53576,0.2453,0.12466,0.96155,0.88575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173375,0.000173375,0.000173375
